gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges
Male,0,No,Yes,61,No,No phone service,DSL,No internet service,No,No,Yes,Yes,No,One year,No,Credit card (automatic),78.7662107009997,1326.35
Female,1,Yes,No,28,No,No phone service,DSL,No internet service,No,No,No,No internet service,No,One year,No,Bank transfer (automatic),36.32137301305262,580.1
Male,0,Yes,Yes,58,No,No phone service,DSL,No,No internet service,No internet service,No internet service,Yes,No,Month-to-month,Yes,Mailed check,80.9215471055009,4982.5
Male,0,No,No,69,No,No phone service,No,Yes,Yes,Yes,No internet service,No,Yes,Month-to-month,No,Electronic check,79.56651825630512,1463.5
Male,1,No,No,9,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,96.54764659220737,1971.15
Female,0,Yes,No,53,Yes,No phone service,DSL,No,Yes,No,No internet service,No,Yes,Month-to-month,Yes,Mailed check,30.668675988312415,2250.65
Female,0,Yes,Yes,1,No,Yes,Fiber optic,No internet service,No internet service,Yes,Yes,No,No,One year,No,Mailed check,40.19022038504586,4860.85
Male,0,Yes,No,27,No,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),80.10498445157702,755.4
Male,0,No,No,35,No,No,No,No internet service,No internet service,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,116.73894531549459,909.25
Female,1,Yes,Yes,13,No,No,Fiber optic,Yes,Yes,No,No,No,No internet service,Month-to-month,Yes,Mailed check,99.52088167449165,2653.65
Male,0,No,No,49,No,No,DSL,Yes,No internet service,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,126.60873547304121,7142.5
Male,0,Yes,No,33,No,No phone service,Fiber optic,No,Yes,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,89.02822844352968,55.25
Female,0,No,No,19,No,No,DSL,No,Yes,No,Yes,No internet service,No,Month-to-month,Yes,Electronic check,57.02561851293292,939.8
Male,0,No,No,51,No,No,Fiber optic,No,No,No internet service,No,No,No,Two year,Yes,Mailed check,152.5128217625726,955.75
Male,0,Yes,No,70,No,No phone service,DSL,No internet service,Yes,No,Yes,No internet service,No,Two year,No,Bank transfer (automatic),0.4029648224601772,84.4
Male,1,No,No,71,Yes,No phone service,Fiber optic,No internet service,No,Yes,No,Yes,No,One year,Yes,Mailed check,117.0706305373721,76.65
Female,0,No,Yes,37,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),67.68565849312047,1073.3
Male,0,No,No,30,No,No phone service,DSL,No internet service,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),107.85100769906222,373
Female,0,No,No,64,No,Yes,No,Yes,No,No,No,Yes,No internet service,Month-to-month,No,Mailed check,36.960749129336236,6393.65
Male,0,Yes,No,53,No,No,DSL,No internet service,Yes,No,No,No,No internet service,Two year,No,Bank transfer (automatic),83.86623434444289,400
Male,0,Yes,Yes,26,No,No phone service,DSL,Yes,No internet service,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),-19.92941220533592,3297
Female,0,No,Yes,62,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,44.76076946681529,6595
Female,1,Yes,Yes,40,No,No,Fiber optic,No internet service,No,Yes,No,No,No internet service,One year,No,Electronic check,65.1131397970073,2473.95
Female,0,No,No,1,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No internet service,Two year,Yes,Mailed check,74.61778591889393,1916.2
Male,1,No,Yes,54,No,No phone service,DSL,No internet service,No internet service,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),48.12605279422916,4042.2
Male,1,No,No,28,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,63.66290143050654,2730.85
Male,0,No,No,31,Yes,No phone service,No,No,No internet service,Yes,No internet service,No internet service,Yes,Two year,No,Credit card (automatic),81.5197241234262,1226.45
Male,0,Yes,No,3,No,No,Fiber optic,No,No internet service,No,No,No,Yes,One year,Yes,Bank transfer (automatic),78.45390395992123,7181.25
Male,0,No,No,48,No,No,No,Yes,No internet service,No,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,85.62117387941402,1889.5
Male,0,No,No,18,No,No phone service,Fiber optic,Yes,No,No,No,No internet service,No internet service,Two year,No,Electronic check,73.59979091928247,4564.9
Male,1,No,No,56,No,No,No,No,No,No,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),78.56360657027288,3096.9
Female,0,No,Yes,67,No,No,No,Yes,No,Yes,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,62.80253042562234,7966.9
Male,0,No,Yes,43,No,No phone service,No,Yes,Yes,No internet service,Yes,No,No,Month-to-month,Yes,Electronic check,21.45415669918271,5567.45
Male,0,Yes,No,31,No,No phone service,Fiber optic,Yes,No internet service,Yes,No,No internet service,Yes,One year,Yes,Mailed check,56.04645142492245,2036.55
Female,0,No,No,51,No,No phone service,Fiber optic,No,No internet service,No internet service,No,Yes,No,One year,Yes,Bank transfer (automatic),50.988025580617204,1155.6
Male,1,No,No,20,No,No,Fiber optic,No internet service,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,76.9991676075625,3282.75
Male,0,Yes,No,4,No,No,Fiber optic,No,No internet service,No internet service,No,No,Yes,One year,Yes,Credit card (automatic),67.95624385593874,1732.95
Male,0,No,Yes,68,No,No,No,No,No,No,No,No internet service,Yes,One year,No,Electronic check,114.87521807325868,1394.55
Female,0,No,Yes,6,No,No,No,No internet service,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,92.84937151972369,275.4
Female,1,No,No,60,No,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),44.994657987115225,2184.6
Female,0,Yes,Yes,18,No,No,DSL,No,No internet service,Yes,No internet service,No internet service,Yes,Two year,Yes,Electronic check,45.74753835937588,6567.9
Female,0,Yes,Yes,71,No,No phone service,Fiber optic,No,No,No,Yes,No internet service,Yes,Month-to-month,No,Mailed check,-5.28250089162978,4107.25
Female,0,No,Yes,3,Yes,No,Fiber optic,Yes,No internet service,Yes,No,No,No internet service,Two year,Yes,Bank transfer (automatic),74.14550441255716,573.15
Male,0,No,Yes,39,No,No,DSL,No internet service,No internet service,No,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,69.23871407245633,2068.55
Male,0,No,No,67,No,No phone service,DSL,No,No,Yes,No,Yes,No,Two year,No,Credit card (automatic),33.55766400752214,151.65
Male,0,Yes,Yes,4,No,No phone service,Fiber optic,No,Yes,No,No,No,No,One year,No,Mailed check,83.054904260162,6875.35
Male,0,Yes,No,57,Yes,No phone service,DSL,Yes,No internet service,Yes,Yes,No internet service,No internet service,One year,No,Electronic check,85.77334551071587,5610.7
Male,0,Yes,No,58,No,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),82.14784406040913,247
Male,0,No,No,47,No,No phone service,No,No,Yes,Yes,No internet service,No,No,Month-to-month,No,Credit card (automatic),98.20461049289861,875.55
Female,0,No,No,28,No,No,No,No,No,No internet service,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),28.85244713454623,5567.45
Male,0,Yes,No,62,No,No phone service,DSL,No,Yes,Yes,No,No internet service,No,One year,Yes,Credit card (automatic),132.8588586962641,565.35
Male,0,Yes,Yes,9,No,No phone service,Fiber optic,Yes,Yes,No internet service,Yes,Yes,Yes,Two year,Yes,Mailed check,37.3806083382419,905.55
Female,0,Yes,No,59,No,No phone service,DSL,Yes,No internet service,No,Yes,Yes,No,One year,No,Mailed check,46.66474860536737,3027.65
Female,1,No,No,25,No,No phone service,DSL,No,No internet service,No,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),64.03678351737486,1614.7
Female,1,Yes,No,5,No,No phone service,Fiber optic,No,Yes,No internet service,No,Yes,No,One year,Yes,Bank transfer (automatic),38.92254023339561,2108.35
Female,1,Yes,No,18,No,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,81.07213852360707,592.65
Male,0,Yes,Yes,36,Yes,No phone service,No,No,No internet service,Yes,Yes,No internet service,Yes,Month-to-month,No,Electronic check,-1.3599057587504149,102.45
Female,0,Yes,Yes,4,No,No,No,No,Yes,No,No,No,No internet service,One year,Yes,Bank transfer (automatic),111.42939008339599,731.3
Female,0,No,Yes,63,No,No phone service,No,No,No,No internet service,Yes,Yes,No,Month-to-month,No,Electronic check,14.069562962199491,521.1
Male,0,No,No,28,Yes,No,No,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),46.62870182170613,3566.7
Female,0,Yes,No,71,No,No phone service,DSL,No internet service,No internet service,No,No,No,Yes,Month-to-month,Yes,Mailed check,91.47204507977864,2308.6
Female,0,Yes,No,17,No,No,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,Yes,Mailed check,127.81708145173064,3600.65
Male,0,No,No,30,No,No,Fiber optic,No internet service,No internet service,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,85.47881133734012,993.15
Female,0,Yes,No,57,No,Yes,Fiber optic,Yes,Yes,No internet service,Yes,Yes,Yes,One year,No,Electronic check,36.94367843211539,3618.7
Female,0,Yes,Yes,31,No,No phone service,DSL,No,No,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),27.103749427687298,1138.8
Male,0,No,No,51,No,No phone service,Fiber optic,No,No internet service,No internet service,No,Yes,No internet service,One year,Yes,Bank transfer (automatic),46.818162103121615,6548.65
Male,0,Yes,Yes,54,No,No phone service,Fiber optic,No internet service,No internet service,No,No,No,Yes,Two year,Yes,Mailed check,63.993403165500524,185.6
Female,0,Yes,No,66,No,Yes,DSL,No internet service,No internet service,Yes,No,No,Yes,Two year,Yes,Electronic check,45.57793854567985,135.2
Female,0,Yes,No,70,No,No,No,No internet service,Yes,Yes,No,No internet service,No,Month-to-month,No,Electronic check,49.10878395552916,3487.95
Male,0,Yes,No,70,No,No,DSL,No internet service,Yes,Yes,No,No,No internet service,Two year,Yes,Electronic check,79.67932243302606,3128.8
Female,1,Yes,Yes,8,No,No,Fiber optic,No,Yes,No,No,No internet service,Yes,One year,No,Electronic check,14.01234394408742,6982.5
Female,1,No,Yes,43,No,No phone service,No,No internet service,Yes,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,54.341126533906696,5294.6
Female,0,Yes,No,14,No,No,DSL,No internet service,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),32.43720550242656,1767.35
Female,0,Yes,Yes,10,No,No,No,No,No,No internet service,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),2.2620773392183295,20.15
Female,0,Yes,No,24,No,No phone service,DSL,No,No internet service,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),68.70417744037096,40.2
Male,0,Yes,No,53,No,Yes,DSL,No internet service,Yes,No,No internet service,No internet service,No,One year,Yes,Bank transfer (automatic),46.83116767184933,1539.8
Male,0,No,No,61,No,No phone service,DSL,No internet service,No,Yes,Yes,Yes,No,Two year,No,Mailed check,53.06965203468766,2245.4
Male,0,No,No,72,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),91.61176797045901,3958.2
Male,0,No,Yes,3,Yes,No phone service,DSL,No,Yes,No internet service,Yes,Yes,No internet service,One year,Yes,Electronic check,123.69272160809888,1534.75
Male,1,No,No,27,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,59.92257370860316,412.1
Male,0,No,Yes,71,No,No,Fiber optic,No internet service,No,Yes,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),43.82316453079676,198.7
Female,0,Yes,No,63,No,No phone service,No,No,No,No internet service,Yes,No internet service,No,Two year,Yes,Mailed check,48.08346675122967,5431.9
Female,0,Yes,No,41,No,No,No,No,No,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),120.25809519604721,4096.9
Male,1,Yes,Yes,72,No,No phone service,Fiber optic,Yes,No,No,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,23.767419624340498,155.9
Female,0,No,Yes,70,No,No,Fiber optic,No internet service,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,94.57844258853821,151.65
Female,1,Yes,Yes,13,No,Yes,No,Yes,No,No internet service,No,Yes,No,One year,Yes,Bank transfer (automatic),79.38137754689471,1810.55
Male,1,No,No,40,No,No,DSL,No,No internet service,No internet service,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),62.318564970704415,477.6
Male,0,Yes,No,54,No,No,No,No internet service,No,Yes,Yes,Yes,No,One year,No,Mailed check,80.50294752962814,32.7
Female,0,Yes,Yes,32,No,No,No,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),65.25525999259442,1107.2
Female,0,No,No,18,No,No phone service,DSL,Yes,No internet service,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,65.9655764891294,6744.2
Male,0,Yes,Yes,1,No,No,DSL,No internet service,Yes,No,Yes,No,No internet service,Month-to-month,Yes,Mailed check,43.59491121389439,710.05
Female,0,No,Yes,55,Yes,No phone service,No,No,Yes,No,No,Yes,No,One year,No,Credit card (automatic),41.320717631484854,4554.85
Male,1,Yes,No,58,No,No,Fiber optic,No internet service,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,14.094782512979492,285.2
Male,1,Yes,Yes,11,No,No,DSL,No,No,No,No internet service,Yes,No,Two year,Yes,Credit card (automatic),64.23995619659178,4137.2
Female,0,No,Yes,32,No,No phone service,DSL,No,Yes,No internet service,Yes,Yes,Yes,Month-to-month,No,Mailed check,81.2623092152253,8277.05
Male,0,Yes,No,49,No,No phone service,DSL,Yes,No internet service,No,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),32.765765699283136,592.65
Female,0,No,No,15,No,No phone service,No,No,No internet service,Yes,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),45.77101635665309,1411.35
Female,1,No,Yes,63,No,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Mailed check,52.35394825114639,412.6
Female,0,No,No,39,No,No phone service,No,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,89.08363880389386,5036.3
Female,0,Yes,No,69,Yes,No phone service,DSL,Yes,No internet service,Yes,No internet service,Yes,Yes,One year,No,Electronic check,23.09945838968357,30.5
Male,0,No,No,42,No,No,DSL,No,No internet service,No,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),82.31472715347752,1462.6
Female,0,Yes,No,20,No,No phone service,Fiber optic,No,Yes,Yes,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),64.26207196073887,134.75
Female,0,No,No,68,No,No phone service,DSL,No internet service,Yes,Yes,Yes,No,No,One year,No,Electronic check,72.18456951726048,446.1
Male,0,No,Yes,13,No,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,74.78979632613067,1259
Female,0,No,No,1,No,No,Fiber optic,No,No,No,No,No,No internet service,One year,Yes,Mailed check,89.03336609322486,422.3
Female,0,No,No,45,No,No phone service,Fiber optic,No,No,No,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,69.44163876858784,5960.5
Male,0,Yes,No,30,No,No phone service,DSL,No internet service,Yes,Yes,No internet service,No,Yes,Month-to-month,No,Electronic check,83.27887736150092,4993.4
Female,0,No,No,25,No,No phone service,No,Yes,No internet service,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),101.8939762108953,1127.2
Female,0,Yes,No,2,No,No,DSL,No,Yes,No,No internet service,Yes,Yes,Month-to-month,No,Bank transfer (automatic),91.74864255224577,411.6
Female,1,No,Yes,28,No,No phone service,DSL,Yes,Yes,No,Yes,No internet service,No,One year,No,Bank transfer (automatic),42.93346342206476,3674.95
Female,0,Yes,No,34,No,No,DSL,Yes,No,Yes,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),61.44301126012643,3958.25
Male,0,No,No,3,No,No,Fiber optic,Yes,No,No internet service,Yes,Yes,No internet service,Two year,Yes,Credit card (automatic),49.20479982964468,5040.2
Female,0,No,No,32,No,No phone service,No,No internet service,Yes,Yes,No,No,No internet service,Two year,Yes,Electronic check,32.019658217216445,883.35
Female,1,Yes,No,10,No,No,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,76.35837313943522,98.5
Male,0,Yes,No,32,No,No phone service,No,No,Yes,Yes,Yes,No internet service,No internet service,Two year,Yes,Credit card (automatic),55.71578064192447,575.45
Female,0,Yes,Yes,49,No,No phone service,Fiber optic,No,No,Yes,Yes,No internet service,No,Two year,No,Electronic check,25.347557305129854,3706.95
Male,0,No,Yes,26,No,No,No,No internet service,No,Yes,No,No,No,One year,Yes,Electronic check,79.3438160685089,5688.05
Male,0,No,No,1,No,No phone service,DSL,No,No internet service,No,No internet service,No,Yes,Month-to-month,Yes,Electronic check,109.05749637927019,164.5
Female,1,No,No,66,No,No,DSL,No internet service,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,78.8858430636879,852.7
Male,0,Yes,Yes,23,No,No phone service,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),65.14860825735867,5088.4
Female,1,Yes,No,35,No,No,DSL,Yes,No internet service,Yes,No,No internet service,No,Two year,No,Bank transfer (automatic),45.652414250592216,493.4
Male,0,No,Yes,32,No,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),32.01687945595279,3952.65
Male,1,No,Yes,3,No,No,No,Yes,No internet service,No,No,Yes,No internet service,One year,Yes,Electronic check,65.80532539633016,419.4
Female,0,No,No,47,Yes,No phone service,DSL,No internet service,Yes,No internet service,Yes,No,Yes,Month-to-month,Yes,Mailed check,115.10966018812323,1042.65
Female,0,Yes,Yes,59,No,Yes,No,No internet service,No,No,No,No internet service,Yes,Two year,No,Bank transfer (automatic),74.772356051999,2058.5
Female,0,No,No,1,No,No,No,Yes,No internet service,No,Yes,Yes,No,Month-to-month,No,Electronic check,58.866794447241766,3103.25
Female,0,No,No,2,No,No phone service,No,Yes,Yes,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),3.7680714344928674,1263.05
Male,0,No,Yes,38,No,No phone service,No,No,No internet service,No,No internet service,No,No,One year,Yes,Electronic check,99.82200092178194,1288.75
Male,0,No,No,8,No,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,10.603126100653341,5960.5
Female,1,No,No,62,No,No,DSL,No internet service,Yes,No,No,No internet service,No,Two year,No,Mailed check,86.5041765704942,153.05
Male,0,Yes,No,46,No,No phone service,No,No internet service,No internet service,Yes,Yes,Yes,No internet service,One year,Yes,Bank transfer (automatic),72.83722000557847,876.75
Male,0,Yes,No,27,No,No,Fiber optic,No,Yes,Yes,No internet service,No internet service,Yes,Two year,Yes,Electronic check,117.23751166306266,1664.3
Female,0,Yes,Yes,8,No,No phone service,No,No internet service,No internet service,No,No,No,Yes,Month-to-month,No,Electronic check,45.25292066251923,2416.55
Female,1,No,Yes,59,No,No,Fiber optic,No,No internet service,No internet service,No,No,No,Month-to-month,Yes,Credit card (automatic),117.51813686782154,3937.45
